GAME_ID,OLD_HOME_TEAM_WIN,OLD_HOME_TEAM_REST,NEW_HOME_TEAM_WIN,NEW_HOME_TEAM_REST
20900147,1,0.91,1,1.18
20900153,1,0.14,1,1.36
20900154,0,0.61,0,1.18
20900155,1,0.61,1,1.55
20900157,1,0.43,1,1.18
20900158,1,0.94,1,1.33
20900160,1,0.77,1,1.18
20900161,1,0.22,1,1.55
20900163,1,0.38,1,1.55
20900164,1,0.35,1,1.55
20900166,0,0.02,0,1.55
20900167,1,0.38,1,1.55
20900169,1,0.63,1,1.33
20900170,1,0.42,1,1.48
20900172,1,0.62,1,1.33
20900174,0,0.48,0,1.63
20900175,1,0.21,1,1.3
20900176,1,0.96,1,1.45
20900177,0,0.59,0,1.63
20900178,1,0.43,1,1.18
20900179,1,0.9,1,1.18
20900181,1,0.16,1,1.18
20900182,1,0.21,1,1.3
20900183,0,0.0,0,1.36
20900184,1,0.75,1,1.0
20900185,0,0.71,0,1.51
20900186,1,0.62,1,1.57
20900187,1,0.4,1,1.25
20900188,1,0.21,1,1.18
20900189,1,0.49,1,1.66
20900190,1,0.72,1,1.63
20900191,1,0.5,1,1.37
20900192,0,0.47,0,1.43
20900193,0,0.57,0,1.3
20900194,1,0.04,1,1.33
20900195,1,0.22,1,1.33
20900196,1,0.55,1,1.63
20900197,1,0.75,1,1.63
20900198,1,0.47,1,1.6
20900199,1,0.47,1,1.33
20900200,1,0.67,1,1.48
20900201,1,0.47,1,1.61
20900202,1,0.31,1,1.53
20900203,1,0.17,1,1.49
20900204,0,0.94,0,1.69
20900205,1,0.66,1,1.91
20900206,0,0.82,0,1.88
20900207,1,0.83,1,1.7
20900208,1,0.36,1,1.63
20900209,1,0.17,1,1.27
20900210,1,0.59,1,1.93
20900211,0,0.93,0,1.73
20900212,0,0.1,0,1.69
20900213,0,0.01,0,1.87
20900214,1,0.5,1,1.75
20900215,0,0.6,0,1.75
20900216,1,0.65,1,1.45
20900217,1,0.7,1,1.88
20900218,1,0.78,1,1.58
20900219,1,0.17,1,1.53
20900220,0,0.65,0,1.85
20900221,1,0.54,1,1.9
20900222,1,0.57,1,1.7
20900223,0,0.65,0,1.7
20900224,0,0.1,0,1.71
20900225,1,0.73,1,1.95
20900226,0,0.07,0,1.75
20900227,0,0.45,0,1.4
20900228,1,0.61,1,1.73
20900229,0,0.4,0,1.79
20900230,1,0.85,1,1.79
20900231,0,0.0,0,1.9
20900232,0,0.85,0,1.65
20900233,1,0.44,1,1.62
20900234,0,0.63,0,1.62
20900235,1,0.59,1,1.51
20900236,0,0.26,0,1.37
20900237,1,0.7,1,1.92
20900238,0,0.42,0,1.83
20900239,1,0.05,1,1.79
20900240,1,0.62,1,1.79
20900241,0,0.24,0,1.62
20900242,0,0.43,0,1.76
20900243,0,0.11,0,1.56
20900244,0,0.74,0,1.78
20900245,1,0.84,1,1.63
20900246,0,0.9,0,1.83
20900247,1,0.63,1,1.69
20900248,1,0.93,1,1.92
20900249,1,0.17,1,1.48
20900250,1,0.56,1,1.61
20900251,1,0.8,1,1.93
20900252,1,0.28,1,1.86
20900253,0,0.81,0,1.83
20900254,0,0.16,0,1.69
20900255,1,0.07,1,1.64
20900256,1,0.6,1,1.86
20900257,0,0.38,0,1.8
20900258,1,0.95,1,1.93
20900259,1,0.41,1,1.98
20900260,1,0.73,1,1.97
20900261,1,0.89,1,1.81
20900262,1,0.61,1,1.71
20900263,0,0.0,0,1.93
20900264,1,0.09,1,2.12
20900265,0,0.33,0,2.11
20900266,1,0.49,1,2.0
20900267,1,0.75,1,1.92
20900268,0,0.75,0,2.01
20900269,0,0.9,0,2.06
20900270,1,0.73,1,1.88
20900271,0,0.35,0,1.76
20900272,0,0.74,0,1.77
20900273,0,0.61,0,1.98
20900274,1,0.82,1,1.97
20900275,1,0.24,1,2.01
20900276,1,0.52,1,1.76
20900277,1,0.0,1,1.94
20900278,1,0.3,1,2.29
20900279,0,0.66,0,2.0
20900280,1,0.86,1,2.31
20900281,1,0.97,1,2.13
20900282,1,0.36,1,1.85
20900283,0,0.26,0,1.9
20900284,1,0.15,1,1.89
20900285,0,0.6,0,2.05
20900286,0,0.53,0,1.61
20900287,1,0.41,1,1.99
20900288,1,0.25,1,2.2
20900289,0,0.23,0,1.8
20900290,1,0.5,1,2.19
20900291,1,0.5,1,1.68
20900292,0,0.2,0,1.72
20900293,1,0.5,1,2.01
20900294,0,0.56,0,1.92
20900295,1,0.98,1,2.1
20900296,0,0.01,0,1.94
20900297,1,0.67,1,1.56
20900298,1,0.44,1,2.18
20900299,1,0.61,1,2.06
20900300,1,0.57,1,2.06
20900301,1,0.59,1,1.8
20900302,1,0.96,1,2.19
20900303,0,0.18,0,2.1
20900304,1,0.68,1,2.17
20900305,1,0.53,1,2.6
20900306,1,0.36,1,1.86
20900307,0,0.67,0,2.34
20900308,1,0.6,1,2.2
20900309,0,0.06,0,2.08
20900310,0,0.01,0,1.95
20900311,0,0.48,0,1.79
20900312,1,0.09,1,1.63
20900313,0,0.29,0,1.9
20900314,1,0.52,1,2.27
20900315,1,0.27,1,2.03
20900316,1,0.99,1,2.27
20900317,1,0.78,1,1.97
20900318,0,0.33,0,2.21
20900319,1,0.49,1,1.86
20900320,1,0.04,1,2.06
20900321,0,0.01,0,1.96
20900322,0,0.48,0,1.71
20900323,0,0.49,0,2.15
20900324,1,0.08,1,1.92
20900325,1,0.41,1,1.84
20900326,0,0.79,0,2.32
20900327,0,0.79,0,2.25
20900328,1,0.51,1,2.03
20900329,1,0.99,1,2.22
20900330,1,0.27,1,2.05
20900331,0,0.22,0,2.17
20900332,1,0.85,1,1.98
20900333,0,0.39,0,1.75
20900334,1,0.71,1,1.87
20900335,1,0.39,1,1.88
20900336,1,0.41,1,1.84
20900337,1,0.66,1,1.88
20900338,1,0.17,1,1.99
20900339,1,0.32,1,1.77
20900340,1,0.82,1,2.14
20900341,0,0.33,0,2.12
20900342,0,0.75,0,2.42
20900343,0,0.44,0,2.64
20900344,1,0.43,1,2.15
20900345,1,0.0,1,2.15
20900346,0,0.68,0,2.03
20900347,1,0.81,1,1.9
20900348,1,0.61,1,1.87
20900349,0,0.77,0,1.9
20900350,1,0.3,1,2.34
20900351,1,0.32,1,2.19
20900352,1,0.74,1,1.89
20900353,1,0.22,1,2.1
20900354,0,0.26,0,1.98
20900355,1,0.53,1,2.15
20900356,1,0.34,1,2.07
20900357,1,0.25,1,2.11
20900358,1,0.88,1,2.29
20900359,1,0.38,1,1.91
20900360,1,0.62,1,2.12
20900361,0,0.34,0,2.12
20900362,0,0.1,0,1.72
20900363,0,0.59,0,2.26
20900364,0,0.39,0,1.83
20900365,1,0.35,1,2.32
20900366,0,0.33,0,2.13
20900367,1,0.74,1,1.89
20900368,1,0.3,1,1.96
20900369,0,0.12,0,1.82
20900370,1,0.17,1,1.98
20900371,1,0.48,1,2.08
20900372,1,0.5,1,2.09
20900373,1,0.24,1,1.72
20900374,1,0.92,1,2.24
20900375,0,0.99,0,2.45
20900376,1,0.88,1,1.78
20900377,1,0.3,1,2.02
20900378,1,0.26,1,1.86
20900379,1,0.57,1,2.26
20900380,1,0.38,1,2.06
20900381,1,0.22,1,2.11
20900382,0,0.92,0,1.93
20900383,0,0.08,0,1.85
20900384,0,0.36,0,2.16
20900385,1,0.5,1,1.93
20900386,0,0.48,0,1.9
20900387,1,0.45,1,1.98
20900388,0,0.04,0,1.63
20900389,1,0.64,1,1.78
20900390,0,0.26,0,2.0
20900391,1,0.68,1,2.05
20900392,1,0.37,1,2.05
20900393,1,0.5,1,1.77
20900394,1,0.54,1,2.02
20900395,1,0.66,1,2.37
20900396,0,0.27,0,1.97
20900397,0,0.65,0,2.25
20900398,1,0.61,1,1.94
20900399,1,0.59,1,2.05
20900400,0,0.26,0,1.8
20900401,1,0.67,1,1.94
20900402,0,0.63,0,1.99
20900403,1,0.79,1,2.04
20900404,0,0.58,0,2.04
20900405,1,0.16,1,1.96
20900406,1,0.25,1,2.1
20900407,1,0.77,1,2.3
20900408,1,0.72,1,2.04
20900409,1,0.69,1,2.01
20900410,0,0.34,0,1.91
20900411,0,0.74,0,1.95
20900412,1,0.76,1,2.0
20900413,1,0.93,1,1.95
20900414,1,0.78,1,1.95
20900415,0,0.12,0,1.8
20900416,1,0.43,1,2.39
20900417,0,0.03,0,2.06
20900418,0,0.45,0,2.0
20900419,1,0.47,1,2.36
20900420,0,0.86,0,2.03
20900421,1,0.37,1,2.12
20900422,0,0.39,0,2.03
20900423,0,0.71,0,1.86
20900424,0,0.82,0,2.22
20900425,0,0.85,0,1.96
20900426,0,0.96,0,2.14
20900427,1,0.26,1,2.03
20900428,1,0.84,1,1.78
20900429,1,0.49,1,2.33
20900430,0,0.12,0,2.08
20900431,0,0.02,0,2.23
20900432,1,0.28,1,2.21
20900433,1,0.48,1,1.97
20900434,1,0.48,1,2.1
20900435,0,0.3,0,2.18
20900436,1,0.28,1,2.05
20900437,0,0.48,0,2.07
20900438,1,0.02,1,2.2
20900439,1,0.78,1,2.36
20900440,1,0.89,1,1.82
20900441,1,0.75,1,2.26
20900442,0,0.54,0,2.18
20900443,0,0.39,0,2.08
20900444,1,0.19,1,2.03
20900445,1,0.29,1,2.27
20900446,0,0.01,0,2.19
20900447,1,0.53,1,2.31
20900448,1,0.34,1,1.87
20900449,0,0.89,0,2.0
20900450,1,0.32,1,2.05
20900451,1,0.35,1,2.16
20900452,0,0.67,0,2.31
20900453,0,0.3,0,1.88
20900454,0,0.05,0,2.16
20900455,1,0.52,1,2.35
20900456,1,0.47,1,1.87
20900457,1,0.81,1,1.99
20900458,1,0.51,1,1.78
20900459,1,0.95,1,1.7
20900460,0,0.03,0,1.74
20900461,1,0.57,1,2.33
20900462,1,0.85,1,2.48
20900463,1,0.01,1,2.16
20900464,0,0.44,0,1.95
20900465,1,0.29,1,2.28
20900466,1,0.56,1,1.89
20900467,1,0.59,1,2.0
20900468,0,0.54,0,2.04
20900469,0,0.04,0,2.13
20900470,1,0.65,1,1.9
20900471,1,0.87,1,1.99
20900472,1,0.84,1,1.91
20900473,1,0.31,1,1.99
20900474,0,0.3,0,2.06
20900475,0,0.29,0,1.96
20900476,1,0.67,1,2.0
20900477,0,0.34,0,2.31
20900478,0,0.37,0,2.11
20900479,1,0.02,1,1.97
20900480,0,0.2,0,2.27
20900481,1,0.27,1,2.25
20900482,1,0.79,1,2.23
20900483,1,0.53,1,2.41
20900484,1,0.09,1,2.28
20900485,0,0.71,0,2.09
20900486,0,0.45,0,2.12
20900487,1,0.73,1,2.19
20900488,0,0.24,0,1.85
20900489,0,0.98,0,1.76
20900490,1,0.59,1,1.96
20900491,1,0.6,1,2.29
20900492,0,0.45,0,2.04
20900493,1,0.78,1,2.0
20900494,1,0.25,1,2.09
20900495,0,0.86,0,2.19
20900496,0,0.3,0,2.1
20900497,1,0.54,1,2.35
20900498,1,0.71,1,2.09
20900499,1,0.23,1,1.83
20900500,0,0.61,0,2.19
20900501,0,0.23,0,2.44
20900502,1,0.45,1,2.09
20900503,1,0.3,1,2.03
20900504,0,0.55,0,1.94
20900505,0,0.16,0,2.06
20900506,1,0.85,1,2.0
20900507,1,0.13,1,2.19
20900508,1,0.65,1,1.99
20900509,0,0.36,0,1.99
20900510,0,0.5,0,2.08
20900511,0,0.13,0,2.19
20900512,0,0.73,0,1.95
20900513,1,0.63,1,2.03
20900514,1,0.65,1,2.03
20900515,1,0.2,1,2.08
20900516,1,0.69,1,2.29
20900517,1,0.73,1,2.33
20900518,0,0.41,0,2.34
20900519,1,0.28,1,2.12
20900520,1,0.42,1,2.16
20900521,1,0.6,1,2.19
20900522,1,0.09,1,2.15
20900523,1,0.86,1,2.23
20900524,1,0.6,1,2.52
20900525,0,0.75,0,2.02
20900526,0,0.76,0,2.02
20900527,1,0.36,1,2.13
20900528,1,0.53,1,2.21
20900529,1,0.45,1,2.15
20900530,1,0.54,1,2.06
20900531,1,0.16,1,1.81
20900532,0,0.01,0,2.35
20900533,1,0.25,1,1.95
20900534,1,0.49,1,2.14
20900535,0,0.76,0,2.03
20900536,1,0.23,1,2.11
20900537,1,0.07,1,2.01
20900538,0,0.88,0,2.28
20900539,0,0.52,0,2.1
20900540,1,0.79,1,2.6
20900541,1,0.5,1,2.02
20900542,0,0.58,0,2.11
20900543,1,0.4,1,1.88
20900544,1,0.22,1,1.88
20900545,1,0.51,1,2.08
20900546,0,0.63,0,2.13
20900547,1,0.5,1,1.96
20900548,1,0.66,1,2.12
20900549,1,0.46,1,1.99
20900550,1,0.51,1,2.2
20900551,1,0.54,1,1.9
20900552,0,0.63,0,2.3
20900553,1,0.69,1,2.23
20900554,0,0.35,0,2.08
20900555,1,0.49,1,2.16
20900556,1,0.67,1,2.02
20900557,0,0.38,0,2.19
20900558,1,0.61,1,1.96
20900559,1,0.48,1,1.9
20900560,0,0.68,0,2.06
20900561,0,0.04,0,2.28
20900562,1,0.63,1,1.98
20900563,0,0.77,0,2.09
